config,domain,query,error_type,propagation_label,injection_step_index,injection_fidelity,final_fidelity,n_steps_after_injection
4-step-rerank,medical,What dosage adjustment is recommended for patients with renal impairment?,wrong_chunk,compounding,0,0.42193119839209536,0.08869315378155129,4
4-step-rerank,medical,What dosage adjustment is recommended for patients with renal impairment?,partial_chunk,compounding,0,0.7851633901006482,0.23349797486893809,4
4-step-rerank,medical,What dosage adjustment is recommended for patients with renal impairment?,hallucinated_chunk,compounding,0,0.46180143867978257,0.08869315378155129,4
4-step-rerank,medical,What dosage adjustment is recommended for patients with renal impairment?,empty_retrieval,isolated,0,0.0,0.0,4
4-step-no-rerank,finance,What was the company's total revenue in fiscal year 2023?,wrong_chunk,compounding,1,0.5999977655853923,0.22845130738359978,3
4-step-no-rerank,finance,What was the company's total revenue in fiscal year 2023?,partial_chunk,compounding,1,0.793618903953776,0.3695989598694441,3
4-step-no-rerank,finance,What was the company's total revenue in fiscal year 2023?,hallucinated_chunk,compounding,1,0.46525637490937954,0.22845130738359978,3
4-step-no-rerank,finance,What was the company's total revenue in fiscal year 2023?,empty_retrieval,isolated,1,0.0,0.0,3
4-step-no-rerank,finance,What dividend did the board approve and what is the company's debt-to-equity ratio?,wrong_chunk,self_correcting,1,0.6938346965613343,1.0,3
4-step-no-rerank,finance,What dividend did the board approve and what is the company's debt-to-equity ratio?,partial_chunk,isolated,1,0.8704589712216516,0.8576319754035101,3
4-step-no-rerank,finance,What dividend did the board approve and what is the company's debt-to-equity ratio?,hallucinated_chunk,self_correcting,1,0.6460764684413179,1.0,3
4-step-no-rerank,finance,What dividend did the board approve and what is the company's debt-to-equity ratio?,empty_retrieval,ambiguous,1,0.0,0.08176804146599939,3
4-step-no-rerank,legal,How much notice is required to terminate the agreement?,wrong_chunk,compounding,1,0.4863708461109069,0.1330494792607256,3
4-step-no-rerank,legal,How much notice is required to terminate the agreement?,partial_chunk,compounding,1,0.7419199797591681,0.24728455771442365,3
4-step-no-rerank,legal,How much notice is required to terminate the agreement?,hallucinated_chunk,compounding,1,0.46504035106572034,0.1330494792607256,3
4-step-no-rerank,legal,How much notice is required to terminate the agreement?,empty_retrieval,isolated,1,0.0,0.038330800219044614,3
4-step-no-rerank,legal,Where are disputes under the contract resolved and how long does confidentiality last?,wrong_chunk,compounding,1,0.5386107430899577,0.0,3
4-step-no-rerank,legal,Where are disputes under the contract resolved and how long does confidentiality last?,partial_chunk,compounding,1,0.7720952984772349,0.1585888912749789,3
4-step-no-rerank,legal,Where are disputes under the contract resolved and how long does confidentiality last?,hallucinated_chunk,compounding,1,0.4951076470224704,0.0,3
4-step-no-rerank,legal,Where are disputes under the contract resolved and how long does confidentiality last?,empty_retrieval,isolated,1,0.0,0.042723499235069476,3
4-step-no-rerank,medical,How much did symptom severity decrease after eight weeks of treatment?,wrong_chunk,compounding,1,0.32287300975416316,0.07244081925041984,3
4-step-no-rerank,medical,How much did symptom severity decrease after eight weeks of treatment?,partial_chunk,compounding,1,0.7126695910377532,0.2169338170113969,3
4-step-no-rerank,medical,How much did symptom severity decrease after eight weeks of treatment?,hallucinated_chunk,compounding,1,0.3397002579756255,0.07244081925041984,3
4-step-no-rerank,medical,How much did symptom severity decrease after eight weeks of treatment?,empty_retrieval,isolated,1,0.0,0.044079599467498704,3
4-step-no-rerank,medical,What dosage adjustment is recommended for patients with renal impairment?,wrong_chunk,compounding,1,0.42193119839209536,0.08869315378155129,3
4-step-no-rerank,medical,What dosage adjustment is recommended for patients with renal impairment?,partial_chunk,compounding,1,0.7851633901006482,0.23349797486893809,3
4-step-no-rerank,medical,What dosage adjustment is recommended for patients with renal impairment?,hallucinated_chunk,compounding,1,0.46180143867978257,0.08869315378155129,3
4-step-no-rerank,medical,What dosage adjustment is recommended for patients with renal impairment?,empty_retrieval,isolated,1,0.0,0.0,3
5-step,finance,What was the company's total revenue in fiscal year 2023?,wrong_chunk,compounding,1,0.528719517543719,0.22845130738359978,4
5-step,finance,What was the company's total revenue in fiscal year 2023?,partial_chunk,compounding,1,0.793618903953776,0.3695989598694441,4
5-step,finance,What was the company's total revenue in fiscal year 2023?,hallucinated_chunk,compounding,1,0.46525637490937954,0.22845130738359978,4
5-step,finance,What was the company's total revenue in fiscal year 2023?,empty_retrieval,isolated,1,0.0,0.0,4
5-step,finance,What dividend did the board approve and what is the company's debt-to-equity ratio?,wrong_chunk,self_correcting,1,0.6938346965613343,1.0,4
5-step,finance,What dividend did the board approve and what is the company's debt-to-equity ratio?,partial_chunk,ambiguous,1,0.8704589712216516,1.0,4
5-step,finance,What dividend did the board approve and what is the company's debt-to-equity ratio?,hallucinated_chunk,self_correcting,1,0.6460764684413179,1.0,4
5-step,finance,What dividend did the board approve and what is the company's debt-to-equity ratio?,empty_retrieval,ambiguous,1,0.0,0.08176804146599939,4
5-step,legal,How much notice is required to terminate the agreement?,wrong_chunk,compounding,1,0.5411508286377589,0.1330494792607256,4
5-step,legal,How much notice is required to terminate the agreement?,partial_chunk,compounding,1,0.7419199797591681,0.34746272158302827,4
5-step,legal,How much notice is required to terminate the agreement?,hallucinated_chunk,compounding,1,0.46504035106572034,0.1330494792607256,4
5-step,legal,How much notice is required to terminate the agreement?,empty_retrieval,isolated,1,0.0,0.038330800219044614,4
5-step,legal,Where are disputes under the contract resolved and how long does confidentiality last?,wrong_chunk,compounding,1,0.572439367676255,0.0,4
5-step,legal,Where are disputes under the contract resolved and how long does confidentiality last?,partial_chunk,compounding,1,0.7720952984772349,0.0,4
5-step,legal,Where are disputes under the contract resolved and how long does confidentiality last?,hallucinated_chunk,compounding,1,0.4951076470224704,0.0,4
5-step,legal,Where are disputes under the contract resolved and how long does confidentiality last?,empty_retrieval,isolated,1,0.0,0.042723499235069476,4
5-step,medical,How much did symptom severity decrease after eight weeks of treatment?,wrong_chunk,compounding,1,0.4029769529469631,0.07244081925041984,4
5-step,medical,How much did symptom severity decrease after eight weeks of treatment?,partial_chunk,compounding,1,0.7126695910377532,0.3799783615910079,4
5-step,medical,How much did symptom severity decrease after eight weeks of treatment?,hallucinated_chunk,compounding,1,0.3397002579756255,0.07244081925041984,4
5-step,medical,How much did symptom severity decrease after eight weeks of treatment?,empty_retrieval,isolated,1,0.0,0.044079599467498704,4
5-step,medical,What dosage adjustment is recommended for patients with renal impairment?,wrong_chunk,compounding,1,0.5075587977048398,0.08869315378155129,4
5-step,medical,What dosage adjustment is recommended for patients with renal impairment?,partial_chunk,compounding,1,0.7851633901006482,0.23349797486893809,4
5-step,medical,What dosage adjustment is recommended for patients with renal impairment?,hallucinated_chunk,compounding,1,0.46180143867978257,0.08869315378155129,4
5-step,medical,What dosage adjustment is recommended for patients with renal impairment?,empty_retrieval,isolated,1,0.0,0.0,4
